file , total_code_churn , max_code_churn , average_code_churn , commits , contributors_num , minor_contributors_num , highest_contributors_percentage , median_number_of_hunk , total_added_line , max_added_line , average_added_line , total_removed_line , max_removed_line , average_removed_line
core\tests\coretests\src\com\android\internal\os\BatteryUsageStatsProviderTest.java,5,5,5,1,1,0,100.0,3,6,6,6,1,1,1
core\tests\coretests\src\com\android\internal\os\BatteryUsageStatsRule.java,5,5,5,1,1,0,100.0,4,7,7,7,2,2,2
core\tests\coretests\src\com\android\internal\os\MockBatteryStatsImpl.java,6,6,6,1,1,0,100.0,2,7,7,7,1,1,1
packages\SystemUI\src\com\android\systemui\statusbar\phone\KeyguardStatusBarViewController.java,-1,-1,-1,1,1,0,100.0,1,0,0,0,1,1,1
packages\SystemUI\src\com\android\systemui\statusbar\phone\fragment\CollapsedStatusBarFragment.java,3,4,2,2,2,0,80.0,2.5,4,4,2,1,1,0
packages\SystemUI\src\com\android\systemui\qs\customize\QSCustomizer.java,-4,-4,-4,1,1,0,100.0,2,0,0,0,4,4,4
packages\SystemUI\src\com\android\systemui\navigationbar\NavigationBarInflaterView.java,91,40,30,3,3,0,43.01,8,92,40,31,1,1,0
services\core\java\com\android\server\inputmethod\InputMethodManagerService.java,32,32,32,1,1,0,100.0,8,32,32,32,0,0,0
packages\SystemUI\src\com\android\systemui\qs\tileimpl\QSFactoryImpl.java,50,8,6,8,8,0,19.35,5.0,56,10,7,6,2,1
packages\SystemUI\src\com\android\systemui\qs\tiles\ReadingModeTile.java,139,139,139,1,1,0,100.0,1,139,139,139,0,0,0
packages\SystemUI\src\com\android\systemui\qs\tiles\PowerShareTile.java,244,244,244,1,1,0,100.0,1,244,244,244,0,0,0
core\java\android\net\NetworkPolicyManager.java,23,12,8,3,2,0,52.17,1,23,12,8,0,0,0
services\core\java\com\android\server\net\NetworkPolicyManagerService.java,254,83,17,15,2,1,98.65,2,571,304,38,317,297,21
apex\jobscheduler\framework\java\android\app\AlarmManager.java,37,37,37,1,1,0,100.0,1,37,37,37,0,0,0
services\core\java\com\android\server\textservices\TextServicesManagerService.java,20,20,20,1,1,0,100.0,4,23,23,23,3,3,3
services\usb\java\com\android\server\usb\UsbDeviceManager.java,66,64,33,2,2,0,94.59,9.0,70,67,35,4,3,2
packages\SystemUI\src\com\android\systemui\keyguard\KeyguardViewMediator.java,56,56,56,1,1,0,100.0,11,56,56,56,0,0,0
core\java\android\app\admin\DevicePolicyManager.java,0,0,0,1,1,0,100.0,1,1,1,1,1,1,1
core\java\android\os\Process.java,6,6,6,1,1,0,100.0,1,6,6,6,0,0,0
core\java\android\provider\Settings.java,14,8,7,2,2,0,57.14,1.0,14,8,7,0,0,0
packages\SettingsProvider\src\android\provider\settings\backup\GlobalSettings.java,2,1,1,2,2,0,50.0,1.0,4,2,2,2,1,1
packages\SettingsProvider\src\android\provider\settings\validators\SettingsValidators.java,2,2,2,1,1,0,100.0,1,2,2,2,0,0,0
packages\SettingsProvider\src\android\provider\settings\validators\UidListValidator.java,39,39,39,1,1,0,100.0,1,39,39,39,0,0,0
core\java\com\android\internal\net\NetworkUtilsInternal.java,0,0,0,1,1,0,100.0,1,1,1,1,1,1,1
core\java\com\android\server\backup\NetworkPolicyBackupHelper.java,73,73,73,1,1,0,100.0,1,73,73,73,0,0,0
services\core\java\com\android\server\backup\SystemBackupAgent.java,2,2,2,1,1,0,100.0,2,2,2,2,0,0,0
core\java\android\app\admin\ManagedProfileProvisioningParams.java,33,33,33,1,1,0,100.0,10,38,38,38,5,5,5
services\devicepolicy\java\com\android\server\devicepolicy\DevicePolicyManagerService.java,13,13,13,1,1,0,100.0,6,24,24,24,11,11,11
services\devicepolicy\java\com\android\server\devicepolicy\OverlayPackagesProvider.java,2,2,2,1,1,0,100.0,3,5,5,5,3,3,3
packages\SystemUI\src\com\android\systemui\statusbar\policy\SecurityControllerImpl.java,7,7,7,1,1,0,100.0,3,8,8,8,1,1,1
services\core\java\com\android\server\connectivity\Vpn.java,31,31,31,1,1,0,100.0,13,35,35,35,4,4,4
services\core\java\com\android\server\BluetoothManagerService.java,46,40,15,3,2,0,60.61,2,56,40,19,10,9,3
packages\SystemUI\src\com\android\systemui\qs\tileimpl\QSTileImpl.java,2,2,2,1,1,0,100.0,9,20,20,20,18,18,18
packages\SystemUI\src\com\android\systemui\globalactions\GlobalActionsDialogLite.java,73,73,73,1,1,0,100.0,6,73,73,73,0,0,0
packages\SystemUI\src\com\android\systemui\Dependency.java,4,4,4,1,1,0,100.0,3,4,4,4,0,0,0
services\core\java\com\android\server\notification\PreferencesHelper.java,3,3,3,1,1,0,100.0,1,3,3,3,0,0,0
packages\SettingsLib\src\com\android\settingslib\display\DisplayDensityUtils.java,2,2,2,1,1,0,100.0,2,4,4,4,2,2,2
packages\SystemUI\src\com\android\systemui\statusbar\phone\NotificationIconContainer.java,2,2,2,1,1,0,100.0,1,4,4,4,2,2,2
core\java\android\speech\tts\TtsEngines.java,0,0,0,1,1,0,100.0,1,1,1,1,1,1,1
packages\SystemUI\src\com\android\systemui\qs\tiles\AODTile.java,159,159,159,1,1,0,100.0,1,159,159,159,0,0,0
packages\SystemUI\src\com\android\systemui\qs\tiles\UsbTetherTile.java,146,146,146,1,1,0,100.0,1,146,146,146,0,0,0
packages\SystemUI\src\com\android\systemui\qs\tiles\AmbientDisplayTile.java,164,164,164,1,1,0,100.0,1,164,164,164,0,0,0
packages\SystemUI\src\com\android\systemui\qs\tiles\SyncTile.java,146,146,146,1,1,0,100.0,1,146,146,146,0,0,0
packages\SystemUI\src\com\android\systemui\qs\tiles\HeadsUpTile.java,142,142,142,1,1,0,100.0,1,142,142,142,0,0,0
packages\SystemUI\src\com\android\systemui\qs\tiles\CaffeineTile.java,254,254,254,1,1,0,100.0,1,254,254,254,0,0,0
packages\SystemUI\src\com\android\systemui\statusbar\phone\PhoneStatusBarTransitions.java,3,3,3,1,1,0,100.0,4,4,4,4,1,1,1
packages\SystemUI\src\com\android\systemui\statusbar\LineageStatusBarItemHolder.java,149,149,149,1,1,0,100.0,1,149,149,149,0,0,0
packages\SystemUI\src\com\android\systemui\navigationbar\NavigationBarView.java,55,55,55,1,1,0,100.0,16,58,58,58,3,3,3
packages\SystemUI\src\com\android\systemui\navigationbar\buttons\KeyButtonView.java,18,18,18,1,1,0,100.0,6,21,21,21,3,3,3
packages\SystemUI\src\com\android\systemui\tuner\TunerActivity.java,4,8,2,2,2,0,81.82,1.0,13,13,6,9,5,4
